3095;153;6;4;88;1;11;1;6;1;2;
3095;153;6;4;88;1;11;1;6;105;2;
3095;153;6;4;88;1;11;1;6;163;2;
3104;153;6;4;88;1;11;0;6;1;;
3104;153;6;4;88;1;11;0;6;105;;
3104;153;6;4;88;1;11;0;6;163;;
3105;153;6;4;88;1;11;1;6;1;;
3105;153;6;4;88;1;11;1;6;105;;
3105;153;6;4;88;1;11;1;6;163;;
776;153;49;49;74;3;1;0;;;;
1742;153;101;101;86;206;11;0;;;;
1738;153;102;102;86;206;11;0;;;;
1740;153;106;106;86;206;11;0;;;;
637;153;107;107;86;2;11;0;;;;
641;153;109;109;86;2;11;0;;;;
1739;153;116;116;86;206;11;0;;;;
1741;153;117;117;86;206;11;0;;;;
2288;153;130;128;98;128;139;0;;;;
2419;153;130;128;98;128;167;0;1;1;0;
3292;153;130;128;98;128;130;0;;;;
814;153;131;148;98;128;167;0;1;1;0;
824;153;131;148;98;128;130;0;;;;
2294;153;134;148;98;128;167;10;1;1;0;
2302;153;134;148;98;128;167;0;1;1;0;
3092;153;135;139;98;128;167;0;;;;
3096;153;135;139;98;128;167;10;;;;
845;153;160;160;82;129;11;0;;;;
2139;153;199;3;86;253;11;0;;;;
3459;153;500;1;88;1;11;0;;;;
643;154;50;45;74;2;11;0;;;;
644;154;51;160;78;2;11;0;;;;
639;154;53;96;7;2;11;0;;;;
642;154;103;103;86;2;11;0;;;;
640;154;118;118;86;2;11;0;;;;
902;154;210;210;86;203;4;0;;;;
901;154;230;230;86;203;4;0;;;;
903;154;240;240;86;203;4;0;;;;
293;158;1;1;86;1;6;0;;;;
295;158;3;1;82;1;6;0;;;;
3167;158;4;40;251;253;6;0;;;;
2476;158;5;2;88;1;6;0;2;100;500;
2477;158;5;2;88;1;6;0;2;100;850;
2478;158;5;2;88;1;6;0;2;100;925;
2503;158;5;2;88;1;6;1;2;100;500;
2506;158;5;2;88;1;6;1;2;100;850;
2510;158;5;2;88;1;6;1;2;100;925;
775;158;49;49;74;3;5;0;;;;
739;158;50;45;74;2;7;0;;;;
740;158;51;160;78;2;7;0;;;;
735;158;53;96;7;2;7;0;;;;
738;158;103;103;86;2;7;0;;;;
733;158;107;107;86;2;7;0;;;;
737;158;109;109;86;2;7;0;;;;
736;158;118;118;86;2;7;0;;;;
3388;158;130;128;98;128;129;0;;;;
