# Parameter;Units;Alias1;Alias2;Alias3;
beam_consistency_indicator_from_multibeam_acoustic_doppler_velocity_profiler_in_sea_water;1;;;;
beaufort_wind_force;1;;;;
bedrock_altitude;m;;;;
bedrock_altitude_change_due_to_isostatic_adjustment;m;;;;
bioluminescent_photon_rate_in_sea_water;s-1 m-3;;;;
biomass_burning_carbon_flux;kg m-2 s-1;;;;
brightness_temperature;K;;;;
brightness_temperature_anomaly;K;;;;
brightness_temperature_at_cloud_top;K;;;;
brunt_vaisala_frequency_in_air;s-1;;;;
burned_area;m2;;;;
burned_area_fraction;1;;;;
canopy_albedo;1;;;;
canopy_and_surface_water_amount;kg m-2;;;;
canopy_height;m;;;;
canopy_resistance_to_ozone_dry_deposition;m-1 s;;;;
canopy_snow_amount;kg m-2;;;;
canopy_temperature;K;;;;
canopy_throughfall_flux;kg m-2 s-1;;;;
canopy_water_amount;kg m-2;;;;
carbon_mass_content_of_forestry_and_agricultural_products;kg m-2;carbon_content_of_forestry_and_agricultural_products;carbon_content_of_products_of_anthropogenic_land_use_change;;
carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change;kg m-2 s-1;;;;
carbon_mass_flux_into_litter_and_soil_due_to_anthropogenic_land_use_or_land_cover_change;kg m-2 s-1;carbon_mass_flux_into_soil_and_litter_due_to_anthropogenic_land_use_or_land_cover_change;;;
carbon_mass_flux_into_soil_from_litter;kg m-2 s-1;;;;
carbon_mass_flux_into_soil_from_vegetation_excluding_litter;kg m-2 s-1;;;;
cell_area;m2;;;;
cell_thickness;m;;;;
change_in_atmosphere_energy_content_due_to_change_in_sigma_coordinate_wrt_surface_pressure;J m-2;;;;
change_in_energy_content_of_atmosphere_layer_due_to_change_in_sigma_coordinate_wrt_surface_pressure;J m-2;;;;
change_in_land_ice_amount;kg m-2;;;;
change_over_time_in_amount_of_ice_and_snow_on_land;kg m-2;;;;
change_over_time_in_atmosphere_mass_content_of_water_due_to_advection;kg m-2;change_over_time_in_atmosphere_water_content_due_to_advection;change_over_time_in_atmospheric_water_content_due_to_advection;;
change_over_time_in_canopy_water_amount;kg m-2;;;;
change_over_time_in_groundwater_amount;kg m-2;;;;
change_over_time_in_land_surface_liquid_water_amount;kg m-2;;;;
change_over_time_in_land_water_amount;kg m-2;;;;
change_over_time_in_mass_content_of_water_in_soil;kg m-2;;;;
change_over_time_in_river_water_amount;kg m-2;;;;
change_over_time_in_sea_water_absolute_salinity;g kg-1;;;;
change_over_time_in_sea_water_conservative_temperature;K;;;;
change_over_time_in_sea_water_density;kg m-3;;;;
change_over_time_in_sea_water_neutral_density;kg m-3;;;;
change_over_time_in_sea_water_potential_density;kg m-3;;;;
change_over_time_in_sea_water_potential_temperature;K;;;;
change_over_time_in_sea_water_practical_salinity;1;;;;
change_over_time_in_sea_water_preformed_salinity;g kg-1;;;;
change_over_time_in_sea_water_salinity;1.00E-03;;;;
change_over_time_in_sea_water_specific_potential_enthalpy;J kg-1;;;;
change_over_time_in_sea_water_temperature;K;;;;
change_over_time_in_surface_snow_amount;kg m-2;;;;
change_over_time_in_thermal_energy_content_of_ice_and_snow_on_land;J m-2;;;;
change_over_time_in_thermal_energy_content_of_vegetation_and_litter_and_soil;J m-2;;;;
charnock_coefficient_for_surface_roughness_length_for_momentum_in_air;1;;;;
clear_sky_area_fraction;1;;;;
climatology_test_quality_flag;1;;;;
cloud_albedo;1;;;;
cloud_area_fraction;1;;;;
cloud_area_fraction_in_atmosphere_layer;1;;;;
cloud_base_altitude;m;;;;
cloud_binary_mask;1;;;;
cloud_ice_mixing_ratio;1;;;;
cloud_liquid_water_mixing_ratio;1;;;;
cloud_top_altitude;m;;;;
colony_forming_unit_number_concentration_of_biological_taxon_in_sea_water;m-3;;;;
compressive_strength_of_sea_ice;Pa m;;;;
concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate;1;;;;
convection_time_fraction;1;;;;
convective_cloud_area_fraction;1;;;;
convective_cloud_area_fraction_in_atmosphere_layer;1;;;;
convective_cloud_base_altitude;m;;;;
convective_cloud_base_height;m;;;;
convective_cloud_longwave_emissivity;1;;;;
convective_cloud_top_altitude;m;;;;
convective_cloud_top_height;m;;;;
